Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,top-off-the-shoulder-acanalado-negro-hm,Top off the shoulder acanalado negro H&M,,LTA2206,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2206_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2206_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2206_3.jpg
,,,,,,,LTA2206a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-con-escote-en-u-negro-hm,Top con escote en U negro H&M,,LTA2207,Tamaño,S,,,,,,,,,,,20,,,2,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2207_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2207_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2207_3.jpg
,,,,,,,LTA2207a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-acanalado-beige-claro-jaspeado-hm,Pulóver acanalado beige claro jaspeado H&M,,LTA2208,Tamaño,L,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2208_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2208_2.jpg
,,,,,,,LTA2208a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,body-de-microfibra-negro-hm,Body de microfibra negro H&M,,LTA2210,Tamaño,S,,,,,,,,,,,25,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2210_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2210_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2210_3.jpg
,,,,,,,LTA2210a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,top-sin-mangas-fruncido-marron-hm,Top sin mangas fruncido marrón H&M,,LTA2212,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2212_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2212_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2212_3.jpg
,,,,,,,LTA2212a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-sin-mangas-acanalado-azul-marino-hm,Top sin mangas acanalado azul marino H&M,,LTA2213,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2213_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2213_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2213_3.jpg
,,,,,,,LTA2213a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-en-punto-pointille-blanco-con-rayas-hm,Top en punto pointille blanco con rayas H&M,,LTA2214,Tamaño,S,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2214.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2214_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2214_2.jpg
,,,,,,,LTA2214a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-acanalado-cuello-bote-rojo-teja-hm,Pulóver acanalado cuello bote rojo teja H&M,,LTA2216,Tamaño,XS,,,,,,,,,,,20,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2216_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2216_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2216_3.jpg
,,,,,,,LTA2216a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
