Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,shorts-de-mezclilla-azul-hm,Shorts de mezclilla azul H&M,,LTA2577,Tamaño,S_2,,,,,,,,,,,25,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2577_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2577_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2577_3.jpg
,,,,,,,LTA2577a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,shorts-denim-azul-hm,Shorts denim azul H&M,,LTA2578,Tamaño,S_2,,,,,,,,,,,25,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2578_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2578_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2578_3.jpg
,,,,,,,LTA2578a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,bermuda-regular-azul-denim-claro-hm,Bermuda regular azul denim claro H&M,,LTA2579,Tamaño,S_4,,,,,,,,,,,30,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2579_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2579_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2579_3.jpg
,,,,,,,LTA2579a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,shorts-altos-azul-denim-claro-hm,Shorts altos azul denim claro H&M,,LTA2580,Tamaño,S_4,,,,,,,,,,,30,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2580_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2580_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2580_3.jpg
,,,,,,,LTA2580a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
