Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,pulover-regular-fit-blanco-hm,Pulóver regular fit blanco H&M,,LTA2742,Tamaño,XL,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2742_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2742_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2742_3.jpg
,,,,,,,LTA2742a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-con-efecto-lavado-loose-fit-negro-hm,Pulóver con efecto lavado loose fit negro H&M,,LTA2743,Tamaño,XXL,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-extras",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2743_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2743_2.jpg
,,,,,,,LTA2743a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-loose-fit-de-gran-calidad-negro-hm,Pulóver loose fit de gran calidad negro H&M,,LTA2744,Tamaño,XXL,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-extras",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2744_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2744_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2744_3.jpg
,,,,,,,LTA2744a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-loose-fit-negro-hm,Pulóver loose fit negro H&M,,LTA2745,Tamaño,XL,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2745_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2745_2.jpg
,,,,,,,LTA2745a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
