Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,falda-midi-satinada-verde-olivo-lefties,Falda midi satinada verde olivo Lefties,,LTA2390,Tamaño,XS,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2390_1.JPG https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2390_2.JPG https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2390_3.JPG https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2390_4.JPG
,,,,,,,LTA2391,Tamaño,S,,,,,,,,,,,40,,,2,,,,,,,,
,,,,,,,LTA2392,Tamaño,M,,,,,,,,,,,40,,,1,,,,,,,,
,,PHYSICAL,catalog,falda-midi-plisada-verde-olivo-lefties,Falda midi plisada verde olivo Lefties,,LTA2393,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2393_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2393_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2393_3.jpeg
,,,,,,,LTA2394,Tamaño,M,,,,,,,,,,,40,,,2,,,,,,,,
,,,,,,,LTA2395,Tamaño,XS,,,,,,,,,,,40,,,1,,,,,,,,
,,PHYSICAL,catalog,falda-midi-rosa-zara,Falda midi rosa ZARA,,LTA2396,Tamaño,S,,,,,,,,,,,50,,,2,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2396_1.JPG https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2396_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2396_3.jpg
,,,,,,,LTA2396a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,falda-midi-plisada-amarilla-zara,Falda midi plisada amarilla ZARA,,LTA2397,Tamaño,S,,,,,,,,,,,50,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2397_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2397_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2397_3.jpg
,,,,,,,LTA2397a,Tamaño,-,,,,,,,,,,,50,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-leg-verde-olivo-lefties,Pantalón wide leg verde olivo Lefties,,LTA2398,Tamaño,S,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2398_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2398_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2398_3.jpeg
,,,,,,,LTA2399,Tamaño,XS,,,,,,,,,,,40,,,1,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-vestir-con-cordon-gris-verdoso-lefties,Pantalón de vestir con cordón gris verdoso Lefties,,LTA2500,Tamaño,M,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2500_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2500_2.jpg
,,,,,,,LTA2500a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,falda-midi-con-textura-rojo-vino-lefties,Falda midi con textura rojo vino Lefties,,LTA2501,Tamaño,M,,,,,,,,,,,35,,,1,"/partes-de-abajo, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2501_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2501_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2501_3.JPG
,,,,,,,LTA2501a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
