Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,camisa-resort-con-bordado-estilo-crochet-blanco-y-negro-zara,Camisa resort con bordado estilo crochet blanco y negro ZARA,,LTA2720,Tamaño,M,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2720_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2720_2.jpg
,,,,,,,LTA2720a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-resort-con-textura-beige-y-blanco-zara,Camisa resort con textura beige y blanco ZARA,,LTA2721,Tamaño,S,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2721_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2721_2.JPG
,,,,,,,LTA2721a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-texturizado-verde-caqui-lefties,Polo texturizado verde caqui Lefties,,LTA2722,Tamaño,M,,,,,,,,,,,,,,2,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2722_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2722_2.JPG
,,,,,,,LTA2722a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-texturizado-color-amarillo-mostaza-lefties,Polo texturizado color amarillo mostaza Lefties,,LTA2723,Tamaño,M,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2723_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2723_2.jpg
,,,,,,,LTA2724,Tamaño,L,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,LTA2725,Tamaño,XL,,,,,,,,,,,,,,1,,,,,,,,
,,PHYSICAL,catalog,polo-de-algodon-con-zipper-verde-caqui-lefties,Polo de algodón con zipper verde caqui Lefties,,LTA2726,Tamaño,L,,,,,,,,,,,,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2726_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2726_2.jpg
,,,,,,,LTA2727,Tamaño,S,,,,,,,,,,,,,,1,,,,,,,,
,,PHYSICAL,catalog,polo-texturizado-marron-lefties,Polo texturizado marrón Lefties,,LTA2728,Tamaño,M,,,,,,,,,,,,,,2,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2728_1.jpeg https://github.com/uberboutique/ss/raw/main/hombres/LTA2728_2.jpeg
,,,,,,,LTA2729,Tamaño,L,,,,,,,,,,,,,,1,,,,,,,,
,,PHYSICAL,catalog,pantalon-jogger-con-cordon-de-ajuste-verde-caqui-osucro-lefties,Pantalón jogger con cordón de ajuste verde caqui osucro Lefties,,LTA2730,Tamaño,M/L,,,,,,,,,,,,,,1,"/partes-de-abajo-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2730_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2730_2.jpg
,,,,,,,LTA2730a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-skinny-verde-olivo-oscuro-lefties,Pantalón skinny verde olivo oscuro Lefties,,LTA2731,Tamaño,S_30,,,,,,,,,,,,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2731_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2731_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2731_3.jpg
,,,,,,,LTA2731a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-chino-relaxed-marron-oscuro-verdoso-lefites,Pantalón chino relaxed marrón oscuro verdoso Lefites,,LTA2732,Tamaño,S_30,,,,,,,,,,,,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2732.jpg
,,,,,,,LTA2732a,Tamaño,-,,,,,,,,,,,,,,0,,,,,,,,
