Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,vestido-espalda-descubierta-beige-lefties,Vestido espalda descubierta beige Lefties,,LTA2171,Tamaño,S,,,,,,,,,,,30,,,1,/vestido,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2171_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2171_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2171_3.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2171_4.jpeg
,,,,,,,LTA2172,Tamaño,M,,,,,,,,,,,30,,,1,,,,,,,,
,,PHYSICAL,catalog,vestido-espalda-descubierta-verde-caqui-lefties,Vestido espalda descubierta verde caqui Lefties,,LTA2173,Tamaño,S,,,,,,,,,,,30,,,1,/vestido,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2173_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2173_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2173_3.jpeg
,,,,,,,LTA2174,Tamaño,XS,,,,,,,,,,,30,,,1,,,,,,,,
,,,,,,,LTA2175,Tamaño,M,,,,,,,,,,,30,,,1,,,,,,,,
,,PHYSICAL,catalog,vestido-espalda-descubierta-negro-lefties,Vestido espalda descubierta negro Lefties,,LTA2176,Tamaño,M,,,,,,,,,,,30,,,1,/vestido,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/vestidos/LTA2176_1.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2176_2.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2176_3.jpeg https://github.com/uberboutique/ss/raw/main/vestidos/LTA2176_4.jpeg
,,,,,,,LTA2176a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-con-pliegues-beige-lefties,Pantalón wide con pliegues beige Lefties,,LTA2177,Tamaño,S/M,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2177_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2177_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2177_3.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2177_4.jpeg
,,,,,,,LTA2178,Tamaño,M/L,,,,,,,,,,,40,,,2,,,,,,,,
,,,,,,,LTA2179,Tamaño,L,,,,,,,,,,,40,,,1,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-de-vestir-beige-jaspeado-lefties,Pantalón wide de vestir beige jaspeado Lefties,,LTA2180,Tamaño,M,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2180_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2180_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2180_3.jpeg
,,,,,,,LTA2180a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-leg-de-vestir-rojo-vivo-lefties,Pantalón wide leg de vestir rojo vivo Lefties,,LTA2181,Tamaño,M,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2181_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2181_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2181_3.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2181_4.JPG
,,,,,,,LTA2181a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-leg-de-vestir-negro-lefties,Pantalón wide leg de vestir negro Lefties,,LTA2182,Tamaño,M/L,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2182_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2182_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2182_3.jpeg
,,,,,,,LTA2182a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-de-vestir-con-pliegues-negro-lefties,Pantalón wide de vestir con pliegues negro Lefties,,LTA2183,Tamaño,M/L,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2183_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2183_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2183_3.jpg
,,,,,,,LTA2183a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-wide-leg-de-vestir-beige-claro-lefties,Pantalón wide leg de vestir beige claro Lefties,,LTA2184,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2184_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2184_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2184_3.jpg
,,,,,,,LTA2184a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-vestir-basico-crema-lefties,Pantalón de vestir básico crema Lefties,,LTA2185,Tamaño,L,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2185_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2185_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2185_3.jpeg
,,,,,,,LTA2185a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-vestir-basico-verde-olivo-lefties,Pantalón de vestir básico verde olivo Lefties,,LTA2186,Tamaño,S,,,,,,,,,,,40,,,1,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2186_1.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2186_2.jpg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2186_3.jpg
,,,,,,,LTA2186a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-mini-flare-marron-lefties,Pantalón mini flare marrón Lefties,,LTA2187,Tamaño,S,,,,,,,,,,,35,,,3,"/partes-de-abajo, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2187_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2187_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2187_3.jpeg
,,,,,,,LTA2187a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,pantalon-de-vestir-basico-rosa-palo-lefities,Pantalón de vestir básico rosa palo Lefities,,LTA2188,Tamaño,M,,,,,,,,,,,35,,,1,"/partes-de-abajo, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2188_1.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2188_2.jpeg https://github.com/uberboutique/ss/raw/main/partes-de-abajo/LTA2188_3.jpeg
,,,,,,,LTA2188a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
