Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,cinturon-de-cuero-woodland-marron-oscuro,Cinturón de cuero Woodland marrón oscuro,,LTA2564,Tamaño,S/M,,,,,,,,,,,30,,,1,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/LTA2564_1.JPG https://github.com/uberboutique/ss/raw/main/accesorios/LTA2564_2.JPG
,,,,,,,LTA2564a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,camiseta-sin-mangas-acanalada-slim-fit-crema-hm,Camiseta sin mangas acanalada slim fit crema H&M,,LTA2565,Tamaño,L,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2565_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2565_2.jpg
,,,,,,,LTA2572,Tamaño,S,,,,,,,,,,,18,,,1,,,,,,,,
,,PHYSICAL,catalog,camisera-sin-mangas-acanalada-slim-fit-marron-claro-hm,Camisera sin mangas acanalada slim fit marrón claro H&M,,LTA2566,Tamaño,L,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2566_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2566_2.jpg
,,,,,,,LTA2566a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
,,PHYSICAL,catalog,camiseta-sin-mangas-acanalada-slim-negra-gran-calidad-hm,Camiseta sin mangas acanalada slim negra gran calidad H&M,,LTA2567,Tamaño,L,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2567_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2567_2.jpg
,,,,,,,LTA2567a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,camiseta-sin-mangas-acanalada-slim-fit-negra-hm,Camiseta sin mangas acanalada slim fit negra H&M,,LTA2568,Tamaño,M,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2568_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2568_2.jpg
,,,,,,,LTA2573,Tamaño,S,,,,,,,,,,,18,,,2,,,,,,,,
,,,,,,,LTA2576,Tamaño,XS,,,,,,,,,,,18,,,2,,,,,,,,
,,PHYSICAL,catalog,camiseta-sin-mangas-acanalada-slim-fit-blanca-hm,Camiseta sin mangas acanalada slim fit blanca H&M,,LTA2569,Tamaño,M,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2569_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2569_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2569_3.jpg
,,,,,,,LTA2570,Tamaño,S,,,,,,,,,,,18,,,1,,,,,,,,
,,,,,,,LTA2575,Tamaño,XS,,,,,,,,,,,18,,,2,,,,,,,,
,,PHYSICAL,catalog,camiseta-sin-mangas-acanalada-slim-fit-crema-gran-calidad-hm,Camiseta sin mangas acanalada slim fit crema gran calidad H&M,,LTA2571,Tamaño,S,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2571_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2571_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2571_3.jpg
,,,,,,,LTA2571a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,camiseta-sin-mangas-acanalada-slim-fit-beige-oscuro-hm,Camiseta sin mangas acanalada slim fit beige oscuro H&M,,LTA2574,Tamaño,S,,,,,,,,,,,18,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2574_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2574_2.jpg
,,,,,,,LTA2574a,Tamaño,-,,,,,,,,,,,18,,,0,,,,,,,,
