Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,short-de-lona-regular-fit-negro-hm,Short de lona regular fit negro H&M,,LTA2264,Tamaño,S,,,,,,,,,,,30,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2264_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2264_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2264_3.jpg
,,,,,,,LTA2264a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,shorts-chino-regular-fit-beige-hm,Shorts chino regular fit beige H&M,,LTA2265,Tamaño,S,,,,,,,,,,,35,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2265_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2265_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2265_3.jpg
,,,,,,,LTA2265a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,shorts-de-lona-regular-fit-verde-caqui-hm,Shorts de lona regular fit verde caqui H&M,,LTA2266,Tamaño,XS,,,,,,,,,,,30,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2266_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2266_2.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2266_3.JPG
,,,,,,,LTA2267,Tamaño,L,,,,,,,,,,,30,,,1,,,,,,,,
,,PHYSICAL,catalog,shorts-en-mezcla-de-lino-relaxed-fit-beige-hm,Shorts en mezcla de lino relaxed fit beige H&M,,LTA2268,Tamaño,S,,,,,,,,,,,35,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2268_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2268_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2268_3.JPG
,,,,,,,LTA2268a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,shorts-chino-regular-fit-azul-marino-hm,Shorts chino regular fit azul marino H&M,,LTA2269,Tamaño,S,,,,,,,,,,,30,,,1,"/partes-de-abajo-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2269_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2269_2.JPG
,,,,,,,LTA2269a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-de-franela-regular-fit-gris-claro-marmoleado-hm,Camisa de franela regular fit gris claro marmoleado H&M,,LTA2341,Tamaño,S,,,,,,,,,,,35,,,2,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2341_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2341_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2341_3.jpg
,,,,,,,LTA2341a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-regular-fit-en-mezcla-de-lino-beige-con-rayas-blancas-hm,Camisa regular fit en mezcla de lino beige con rayas blancas H&M,,LTA2342,Tamaño,L,,,,,,,,,,,35,,,2,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2342_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2342_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2342_3.jpg
,,,,,,,LTA2343,Tamaño,S,,,,,,,,,,,35,,,1,,,,,,,,
,,PHYSICAL,catalog,camisa-regular-fit-en-mezcla-de-lino-blanca-hm,Camisa regular fit en mezcla de lino blanca H&M,,LTA2344,Tamaño,XS,,,,,,,,,,,35,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2344_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2344_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2344_3.jpg
,,,,,,,LTA2345,Tamaño,L,,,,,,,,,,,35,,,1,,,,,,,,
,,PHYSICAL,catalog,camisa-regular-fit-en-mezcla-de-lino-beige-claro-hm,Camisa regular fit en mezcla de lino beige claro H&M,,LTA2346,Tamaño,L,,,,,,,,,,,35,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2346_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2346_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2346_3.jpg
,,,,,,,LTA2346a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-texturizada-loose-fit-crema-cuadrille-hm,Camisa texturizada loose fit crema cuadrillé H&M,,LTA2347,Tamaño,S,,,,,,,,,,,35,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2347_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2347_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2347_3.jpg
,,,,,,,LTA2347a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-slim-fit-easy-iron-azul-claro-hm,Camisa slim fit easy-iron azul claro H&M,,LTA2350,Tamaño,M,,,,,,,,,,,30,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2350_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2350_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2350_3.jpg
,,,,,,,LTA2350a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,camisa-texturizada-regular-fit-azul-marino-hm,Camisa texturizada regular fit azul marino H&M,,LTA2351,Tamaño,S,,,,,,,,,,,40,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2351_1.JPG https://github.com/uberboutique/ss/raw/main/hombres/LTA2351_2.JPG
,,,,,,,LTA2351a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-texturizado-regular-fit-crema-hm,Polo texturizado regular fit crema H&M,,LTA2352,Tamaño,S,,,,,,,,,,,30,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2352_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2352_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2352_3.jpg
,,,,,,,LTA2352a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-regular-fit-texturizado-crema-hm,Pulóver regular fit texturizado crema H&M,,LTA2353,Tamaño,S,,,,,,,,,,,30,,,2,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2353_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2353_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2353_3.jpg
,,,,,,,LTA2353a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,polo-regular-fit-calado-blanco-hm,Polo regular fit calado blanco H&M,,LTA2354,Tamaño,L,,,,,,,,,,,30,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2354_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2354_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2354_3.jpg
,,,,,,,LTA2354a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-regular-fit-texturizado-negro-hm,Pulóver regular fit texturizado negro H&M,,LTA2355,Tamaño,M,,,,,,,,,,,30,,,1,"/partes-de-arriba-hombres, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2355_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2355_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2355_3.jpg
,,,,,,,LTA2356,Tamaño,L,,,,,,,,,,,30,,,1,,,,,,,,
,,PHYSICAL,catalog,sandalias-de-tacon-con-tiras-negras-hm,Sandalias de tacón con tiras negras H&M,,LTA2357,Tamaño,7_38,,,,,,,,,,,40,,,1,/calzado,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/LTA2357_1.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2357_2.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2357_3.jpg
,,,,,,,LTA2357a,Tamaño,-,,,,,,,,,,,40,,,0,,,,,,,,
,,PHYSICAL,catalog,gorra-western-serpiente-springfield,Gorra Western Serpiente SPRINGFIELD,,LTA2358,Tamaño,Unitalla,,,,,,,,,,,25,,,1,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/LTA2358_1.jpeg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2358_2.jpeg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2358_3.jpeg
,,,,,,,LTA2358a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,gorra-jockey-montana-exploring-springfield,Gorra Jockey montaña Exploring SPRINGFIELD,,LTA2359,Tamaño,Unitalla,,,,,,,,,,,25,,,1,/accesorios,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/accesorios/LTA2359_1.jpeg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2359_2.jpeg https://github.com/uberboutique/ss/raw/main/accesorios/LTA2359_3.jpeg
,,,,,,,LTA2359a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-con-motivo-estampado-blanco-beverly-hills-hm,Pulóver con motivo estampado blanco Beverly Hills H&M,,LTA2360,Tamaño,S,,,,,,,,,,,20,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2360_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2360_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2360_3.jpg
,,,,,,,LTA2360a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,pulover-en-mezcla-de-lyocell-beige-marmoleado-hm,Pulóver en mezcla de lyocell beige marmoleado H&M,,LTA2361,Tamaño,L,,,,,,,,,,,22,,,1,"/partes-de-arriba-hombres, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/hombres/LTA2361_1.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2361_2.jpg https://github.com/uberboutique/ss/raw/main/hombres/LTA2361_3.jpg
,,,,,,,LTA2361a,Tamaño,-,,,,,,,,,,,22,,,0,,,,,,,,
