Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,,PHYSICAL,catalog,enguatada-polo-de-mujer-negra-hm,Enguatada polo de mujer negra H&M,,LTA2115,Tamaño,S,,,,,,,,,,,22,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2115_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2115_2.jpg
,,,,,,,LTA2116,Tamaño,L,,,,,,,,,,,22,,,1,,,,,,,,
,,PHYSICAL,catalog,enguatada-de-microfibra-gris-oscuro-hm,Enguatada de microfibra gris oscuro H&M,,LTA2117,Tamaño,XXL,,,,,,,,,,,22,,,1,"/tops, /tallas-extra-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2117_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2117_2.jpg
,,,,,,,LTA2117a,Tamaño,-,,,,,,,,,,,22,,,0,,,,,,,,
,,PHYSICAL,catalog,enguatada-negra-de-algodon-hm,Enguatada negra de algodón H&M,,LTA2118,Tamaño,M,,,,,,,,,,,22,,,1,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2118_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2118_2.jpg
,,,,,,,LTA2119,Tamaño,L,,,,,,,,,,,22,,,1,,,,,,,,
,,PHYSICAL,catalog,enguatada-drapeada-negra-hm,Enguatada drapeada negra H&M,,LTA2124,Tamaño,L,,,,,,,,,,,22,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2124_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2124_2.jpg
,,,,,,,LTA2140,Tamaño,S,,,,,,,,,,,22,,,1,,,,,,,,
,,,,,,,LTA2148,Tamaño,XL,,,,,,,,,,,22,,,1,,,,,,,,
,,PHYSICAL,catalog,enguatada-blanca-fina-cuello-u-hm,Enguatada blanca fina cuello U H&M,,LTA2125,Tamaño,XL,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2125_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2125_2.jpg
,,,,,,,LTA2126,Tamaño,M,,,,,,,,,,,20,,,1,,,,,,,,
,,PHYSICAL,catalog,enguatada-de-algodon-de-gran-calidad-blanca-hm,Enguatada de algodón de gran calidad blanca H&M,,LTA2129,Tamaño,XL,,,,,,,,,,,25,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2129_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2129_2.jpeg
,,,,,,,LTA2129a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,sueter-de-punto-fino-estilo-polo-negro-hm,Suéter de punto fino estilo polo negro H&M,,LTA2131,Tamaño,S,,,,,,,,,,,35,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2131_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2131_2.jpg
,,,,,,,LTA2131a,Tamaño,-,,,,,,,,,,,35,,,0,,,,,,,,
,,PHYSICAL,catalog,enguatada-loose-fit-blanca-de-gran-calidad-hm,Enguatada loose fit blanca de gran calidad H&M,,LTA2133,Tamaño,S,,,,,,,,,,,28,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2133_1.JPG https://github.com/uberboutique/ss/raw/main/tops/LTA2133_2.JPG
,,,,,,,LTA2133a,Tamaño,-,,,,,,,,,,,28,,,0,,,,,,,,
,,PHYSICAL,catalog,enguatada-loose-fit-negra-de-gran-calidad-hm,Enguatada loose fit negra de gran calidad H&M,,LTA2134,Tamaño,S,,,,,,,,,,,28,,,1,"/partes-de-arriba-hombres, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2134_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2134_2.jpg
,,,,,,,LTA2135,Tamaño,M,,,,,,,,,,,28,,,1,,,,,,,,
,,,,,,,LTA2136,Tamaño,XXL,,,,,,,,,,,28,,,1,,,,,,,,
,,PHYSICAL,catalog,enguatada-acanalada-de-algodon-negra-hm,Enguatada acanalada de algodón negra H&M,,LTA2138,Tamaño,XS,,,,,,,,,,,22,,,3,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2138_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2138_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2138_3.jpg
,,,,,,,LTA2138a,Tamaño,-,,,,,,,,,,,22,,,0,,,,,,,,
,,PHYSICAL,catalog,sueter-con-cuello-bote-negro-hm,Suéter con cuello bote negro H&M,,LTA2143,Tamaño,M,,,,,,,,,,,30,,,1,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2143_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2143_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2143_3.jpg
,,,,,,,LTA2143a,Tamaño,-,,,,,,,,,,,30,,,0,,,,,,,,
,,PHYSICAL,catalog,enguatada-verde-rayas-blancas-hm,Enguatada verde rayas blancas H&M,,LTA2144,Tamaño,S,,,,,,,,,,,25,,,1,"/tops, /tallas-pequenas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2144_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2144_2.jpg
,,,,,,,LTA2144a,Tamaño,-,,,,,,,,,,,25,,,0,,,,,,,,
,,PHYSICAL,catalog,top-mangas-largas-con-ribete-picot-crema-hm,Top mangas largas con ribete picot crema H&M,,LTA2146,Tamaño,M,,,,,,,,,,,22,,,2,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2146_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2146_2.jpg
,,,,,,,LTA2147,Tamaño,XXS,,,,,,,,,,,22,,,1,,,,,,,,
,,PHYSICAL,catalog,enguatada-acanalada-azul-claro-hm,Enguatada acanalada azul claro H&M,,LTA2152,Tamaño,XL,,,,,,,,,,,22,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2152_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2152_2.jpg
,,,,,,,LTA2152a,Tamaño,-,,,,,,,,,,,22,,,0,,,,,,,,
,,PHYSICAL,catalog,enguatada-acanalada-marron-oscuro-cuello-redondo-hm,Enguatada acanalada marrón oscuro cuello redondo H&M,,LTA2153,Tamaño,XL,,,,,,,,,,,20,,,1,"/tops, /tallas-grandes",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2153_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2153_2.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2153_3.jpg
,,,,,,,LTA2153a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,top-de-mangas-largas-con-escote-u-amariilo-claro-hm,Top de mangas largas con escote U amariilo claro H&M,,LTA2154,Tamaño,M,,,,,,,,,,,20,,,1,"/tops, /tallas-medianas",,,,,,Yes,https://github.com/uberboutique/ss/raw/main/tops/LTA2154_1.jpg https://github.com/uberboutique/ss/raw/main/tops/LTA2154_2.jpg
,,,,,,,LTA2154a,Tamaño,-,,,,,,,,,,,20,,,0,,,,,,,,
,,PHYSICAL,catalog,sandalias-destalonadas-de-punta-fina-rosa-viejo-zara,Sandalias destalonadas de punta fina rosa viejo ZARA,,LTA2156,Tamaño,39,,,,,,,,,,,55,,,1,/calzado,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/LTA2156_1.JPG https://github.com/uberboutique/ss/raw/main/calzado/LTA2156_2.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2156_3.jpg
,,,,,,,LTA2156a,Tamaño,-,,,,,,,,,,,55,,,0,,,,,,,,
,,PHYSICAL,catalog,sandalias-de-tacon-efecto-craquelado-gris-claro-zara,Sandalias de tacón efecto craquelado gris claro ZARA,,LTA2157,Tamaño,37,,,,,,,,,,,60,,,1,/calzado,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/LTA2157_1.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2157_2.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2157_3.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2157_4.jpg
,,,,,,,LTA2158,Tamaño,38,,,,,,,,,,,60,,,2,,,,,,,,
,,PHYSICAL,catalog,sandalias-de-punta-fina-destalonados-de-piel-gris-topo-zara,Sandalias de punta fina destalonados de piel gris topo ZARA,,LTA2159,Tamaño,41,,,,,,,,,,,60,,,1,/calzado,,,,,,Yes,https://github.com/uberboutique/ss/raw/main/calzado/LTA2159_1.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2159_2.jpg https://github.com/uberboutique/ss/raw/main/calzado/LTA2159_3.jpg
,,,,,,,LTA2159a,Tamaño,-,,,,,,,,,,,60,,,0,,,,,,,,
